Nombre : ACCIONA  ,  maximo : 96.75  ,  minimo : 94.4 ,  media : 95.575
Nombre : ACERINOX  ,  maximo : 8672.0  ,  minimo : 8468.0 ,  media : 8570.0
Nombre : ACS  ,  maximo : 37.66  ,  minimo : 37.22 ,  media : 37.44
Nombre : AENA  ,  maximo : 167.5  ,  minimo : 166.1 ,  media : 166.8
Nombre : AMADEUS  ,  maximo : 70.64  ,  minimo : 69.56 ,  media : 70.1
Nombre : ARCELORMIT.  ,  maximo : 14318.0  ,  minimo : 14.08 ,  media : 7166.04
Nombre : BA.SABADELL  ,  maximo : 1033.0  ,  minimo : 1.0165 ,  media : 517.00825
Nombre : BA.SANTANDER  ,  maximo : 4.0675  ,  minimo : 4.01 ,  media : 4.03875
Nombre : BANKIA  ,  maximo : 2262.0  ,  minimo : 2224.0 ,  media : 2243.0
Nombre : BANKINTER  ,  maximo : 6604.0  ,  minimo : 6522.0 ,  media : 6563.0
Nombre : BBVA  ,  maximo : 5.05  ,  minimo : 4969.0 ,  media : 2487.025
Nombre : CAIXABANK  ,  maximo : 2806.0  ,  minimo : 2762.0 ,  media : 2784.0
Nombre : CELLNEX  ,  maximo : 30.7  ,  minimo : 30.17 ,  media : 30.435000000000002
Nombre : CIE AUTOMOT.  ,  maximo : 23.74  ,  minimo : 23.4 ,  media : 23.57
Nombre : ENAGAS  ,  maximo : 25.66  ,  minimo : 25.07 ,  media : 25.365000000000002
Nombre : ENCE  ,  maximo : 3974.0  ,  minimo : 3846.0 ,  media : 3910.0
Nombre : ENDESA  ,  maximo : 23.03  ,  minimo : 22.62 ,  media : 22.825000000000003
Nombre : FERROVIAL  ,  maximo : 21.72  ,  minimo : 21.38 ,  media : 21.549999999999997
Nombre : GRIFOLS CL.A  ,  maximo : 23.6  ,  minimo : 23.27 ,  media : 23.435000000000002
Nombre : IAG  ,  maximo : 5.46  ,  minimo : 5292.0 ,  media : 2648.73
Nombre : IBERDROLA  ,  maximo : 8.45  ,  minimo : 8262.0 ,  media : 4135.225
Nombre : INDITEX  ,  maximo : 25.19  ,  minimo : 24.87 ,  media : 25.03
Nombre : INDRA A  ,  maximo : 9685.0  ,  minimo : 9535.0 ,  media : 9610.0
Nombre : INM.COLONIAL  ,  maximo : 9915.0  ,  minimo : 9745.0 ,  media : 9830.0
Nombre : MAPFRE  ,  maximo : 2654.0  ,  minimo : 2.62 ,  media : 1328.31
Nombre : MEDIASET  ,  maximo : 6592.0  ,  minimo : 6446.0 ,  media : 6519.0
Nombre : MELIA HOTELS  ,  maximo : 8.19  ,  minimo : 8.02 ,  media : 8.105
Nombre : MERLIN  ,  maximo : 12.08  ,  minimo : 11.83 ,  media : 11.955
Nombre : NATURGY  ,  maximo : 26.77  ,  minimo : 26.53 ,  media : 26.65
Nombre : R.E.C.  ,  maximo : 19875.0  ,  minimo : 19675.0 ,  media : 19775.0
Nombre : REPSOL  ,  maximo : 14605.0  ,  minimo : 14.46 ,  media : 7309.73
Nombre : SIEMENS GAME  ,  maximo : 14.39  ,  minimo : 14155.0 ,  media : 7084.695
Nombre : TEC.REUNIDAS  ,  maximo : 23.2  ,  minimo : 22.78 ,  media : 22.990000000000002
Nombre : TELEFONICA  ,  maximo : 7256.0  ,  minimo : 7185.0 ,  media : 7220.5
Nombre : VISCOFAN  ,  maximo : 49.12  ,  minimo : 48.46 ,  media : 48.79
